时间,电导1,电导2,电导3
0,10.0000,20.0000,15.0000
1,10.0000,20.0000,15.0000
2,10.0000,20.0000,15.0000
3,10.0000,20.0000,15.0000
4,10.0000,20.0000,15.0000
5,10.0000,20.0000,15.0000
6,10.0000,20.0000,15.0000
7,10.0000,20.0000,15.0000
8,10.0000,20.0000,15.0000
9,10.0000,20.0000,15.0000
10,100.0000,20.0000,15.0000
11,100.0000,20.0000,15.0000
12,100.0000,20.0000,15.0000
13,100.0000,20.0000,15.0000
14,100.0000,20.0000,15.0000
15,100.0000,20.0000,15.0000
16,100.0000,20.0000,15.0000
17,100.0000,20.0000,15.0000
18,100.0000,20.0000,15.0000
19,100.0000,20.0000,15.0000
20,100.0000,80.0000,15.0000
21,100.0000,80.0000,15.0000
22,100.0000,80.0000,15.0000
23,100.0000,80.0000,15.0000
24,100.0000,80.0000,15.0000
25,100.0000,80.0000,15.0000
26,100.0000,80.0000,15.0000
27,100.0000,80.0000,15.0000
28,100.0000,80.0000,15.0000
29,100.0000,80.0000,15.0000
30,100.0000,80.0000,75.0000
31,100.0000,80.0000,75.0000
32,100.0000,80.0000,75.0000
33,100.0000,80.0000,75.0000
34,100.0000,80.0000,75.0000
35,100.0000,80.0000,75.0000
36,100.0000,80.0000,75.0000
37,100.0000,80.0000,75.0000
38,100.0000,80.0000,75.0000
39,100.0000,80.0000,75.0000
40,100.0000,80.0000,75.0000
41,100.0000,80.0000,75.0000
42,100.0000,80.0000,75.0000
43,100.0000,80.0000,75.0000
44,100.0000,80.0000,75.0000
45,100.0000,80.0000,75.0000
46,100.0000,80.0000,75.0000
47,100.0000,80.0000,75.0000
48,100.0000,80.0000,75.0000
49,100.0000,80.0000,75.0000
50,100.0000,80.0000,75.0000
51,159.5530,81.0204,75.0303
52,190.5034,83.6523,75.2193
53,205.2170,87.3535,75.6696
54,210.7791,91.6981,76.4361
55,211.2462,96.3561,77.5380
56,208.9372,101.0759,78.9683
57,205.1746,105.6700,80.7019
58,200.7099,110.0023,82.7013
59,195.9668,113.9785,84.9219
60,191.1820,117.5374,87.3151
61,186.4847,120.6439,89.8315
62,181.9431,123.2830,92.4230
63,177.5907,125.4555,95.0438
64,173.4411,127.1738,97.6519
65,169.4973,128.4588,100.2095
66,165.7559,129.3372,102.6835
67,162.2106,129.8400,105.0454
68,158.8534,130.0000,107.2715
